POINT,CL=F,BP.LSE,DATE
1,61.18,480.85,02/01/2020
2,63.05,494.05,03/01/2020
3,63.27,498.8,06/01/2020
4,62.7,494.3,07/01/2020
5,59.61,492.05,08/01/2020
6,59.56,495.25,09/01/2020
7,59.04,497.1,10/01/2020
8,58.08,495.2,13/01/2020
9,58.23,497.85,14/01/2020
10,57.81,496.4,15/01/2020
11,58.52,493.5,16/01/2020
12,58.54,490.35,17/01/2020
13,58.34,482.15,21/01/2020
14,56.74,486.1,22/01/2020
15,55.59,476.95,23/01/2020
16,54.19,481.75,24/01/2020
17,53.14,467.1,27/01/2020
18,53.48,456.7,28/01/2020
19,53.33,452.7,29/01/2020
20,52.14,471.55,30/01/2020
21,51.56,484.3,31/01/2020
22,50.11,470,03/02/2020
23,49.61,464.6,04/02/2020
24,50.75,469.7,05/02/2020
25,50.95,474.6,06/02/2020
26,50.32,459.95,07/02/2020
27,49.57,461,10/02/2020
28,49.94,457.5,11/02/2020
29,51.17,462.8,12/02/2020
30,51.42,466.2,13/02/2020
31,52.05,453.55,14/02/2020
32,52.05,428.7,18/02/2020
33,53.29,428.4,19/02/2020
34,53.78,414.15,20/02/2020
35,53.38,396.15,21/02/2020
36,51.43,414.95,24/02/2020
37,49.9,422.65,25/02/2020
38,48.73,416.7,26/02/2020
39,47.09,395.2,27/02/2020
40,44.76,318.2,28/02/2020
41,46.75,317.15,02/03/2020
42,47.18,275,03/03/2020
43,46.78,276.3,04/03/2020
44,45.9,259.35,05/03/2020
45,41.28,259.65,06/03/2020
46,32.5,233.7,08/03/2020
47,31.13,240.75,09/03/2020
48,34.36,251.7,10/03/2020
49,32.98,256.9,11/03/2020
50,31.5,312.35,12/03/2020
51,31.73,339.4,13/03/2020
52,30.39,337,15/03/2020
53,28.7,305.5,16/03/2020
54,26.95,323.6,17/03/2020
55,20.37,344.2,18/03/2020
56,25.22,333.7,19/03/2020
57,22.43,353.35,20/03/2020
58,21.35,337.3,22/03/2020
59,23.36,335.85,23/03/2020
60,24.01,341,24/03/2020
61,24.49,335.35,25/03/2020
62,22.6,335.75,26/03/2020
63,21.51,321.1,27/03/2020
64,20.35,299.7,29/03/2020
65,20.09,291.95,30/03/2020
66,20.48,303.55,31/03/2020
67,20.31,302.3,01/04/2020
68,25.32,293.15,02/04/2020
69,28.34,310.75,03/04/2020
70,26.08,308.6,06/04/2020
71,23.63,314,07/04/2020
72,25.09,322.1,08/04/2020
73,22.76,333.5,09/04/2020
74,23.13,313.1,12/04/2020
75,22.41,298.85,13/04/2020
76,20.11,300.6,14/04/2020
77,19.87,318.9,15/04/2020
78,19.87,313.7,16/04/2020
79,18.27,315.9,17/04/2020
80,16.99,313.85,19/04/2020
81,-37.63,313.25,20/04/2020
82,10.01,301.65,21/04/2020
83,13.78,296.45,22/04/2020
84,16.5,296.5,23/04/2020
85,16.94,320.8,24/04/2020
86,16.56,314.15,26/04/2020
87,12.78,318.55,27/04/2020
88,12.34,311.9,28/04/2020
89,15.06,310,29/04/2020
90,18.84,309.95,30/04/2020
91,19.78,319.45,01/05/2020
92,18.63,313.95,03/05/2020
93,20.39,305.75,04/05/2020
94,24.56,311,05/05/2020
95,23.99,328.6,06/05/2020
